method,sample_size,portfolio_id,confidence_level,var,cvar,runtime,num_qubits,circuit_depth
monte_carlo,50000.0,11,0.99,0.01903249426577626,0.02184734530610731,0.011570453643798828,,
monte_carlo,50000.0,12,0.95,0.015677968100562937,0.019886133404762363,0.012254476547241211,,
monte_carlo,50000.0,12,0.99,0.022494377192389618,0.025882006107613344,0.012254476547241211,,
monte_carlo,50000.0,13,0.95,0.016999489275350613,0.021598219451519685,0.009792804718017578,,
monte_carlo,50000.0,13,0.99,0.02435744976937369,0.028248867380466947,0.009792804718017578,,
monte_carlo,50000.0,14,0.95,0.014777046352064798,0.01871445361672721,0.011118650436401367,,
monte_carlo,50000.0,14,0.99,0.02113395192774146,0.024551293455709375,0.011118650436401367,,
monte_carlo,50000.0,15,0.95,0.015685696835898072,0.019956158475645323,0.014986991882324219,,
monte_carlo,50000.0,15,0.99,0.022706922857117194,0.02618639001832958,0.014986991882324219,,
monte_carlo,50000.0,16,0.95,0.01717815611980212,0.021539509704876114,0.017360210418701172,,
monte_carlo,50000.0,16,0.99,0.024372823484214462,0.027721527158046832,0.017360210418701172,,
monte_carlo,50000.0,17,0.95,0.016862468443507465,0.021231892421751244,0.015700340270996094,,
monte_carlo,50000.0,17,0.99,0.024132982984633147,0.027576543724115818,0.015700340270996094,,
monte_carlo,50000.0,18,0.95,0.016210205293686532,0.020641604812165246,0.01565098762512207,,
monte_carlo,50000.0,18,0.99,0.023396491628985428,0.026796816476746935,0.01565098762512207,,
monte_carlo,50000.0,19,0.95,0.01587279055599946,0.019968160623998546,0.005425691604614258,,
monte_carlo,50000.0,19,0.99,0.022464647381162866,0.025883613202200766,0.005425691604614258,,
monte_carlo,100000.0,0,0.95,0.017679507155738756,0.022383757842655023,0.035096168518066406,,
monte_carlo,100000.0,0,0.99,0.02525534272348449,0.02911252559608311,0.035096168518066406,,
monte_carlo,100000.0,1,0.95,0.01770242346888962,0.02233297445321935,0.027614831924438477,,
monte_carlo,100000.0,1,0.99,0.02529202605457597,0.0289575453150917,0.027614831924438477,,
monte_carlo,100000.0,2,0.95,0.014765703292838848,0.018765817751203027,0.03280353546142578,,
monte_carlo,100000.0,2,0.99,0.021219871012790152,0.02453792833322483,0.03280353546142578,,
monte_carlo,100000.0,3,0.95,0.01371406320940646,0.017291999540015843,0.03390908241271973,,
monte_carlo,100000.0,3,0.99,0.019509296463559516,0.022415033899794306,0.03390908241271973,,
monte_carlo,100000.0,4,0.95,0.015082681235200316,0.019154312902791754,0.03396153450012207,,
monte_carlo,100000.0,4,0.99,0.021678031939854785,0.02507285342543168,0.03396153450012207,,
monte_carlo,100000.0,5,0.95,0.01793698232947383,0.02272506817794595,0.022260665893554688,,
monte_carlo,100000.0,5,0.99,0.02581304533025561,0.029531805678304095,0.022260665893554688,,
monte_carlo,100000.0,6,0.95,0.017206840531613418,0.0217460441853504,0.025105714797973633,,
monte_carlo,100000.0,6,0.99,0.02465478068829759,0.028311456162711805,0.025105714797973633,,
monte_carlo,100000.0,7,0.95,0.016038660937035938,0.020363967144653754,0.03043198585510254,,
monte_carlo,100000.0,7,0.99,0.02310559974425649,0.02666726192380601,0.03043198585510254,,
monte_carlo,100000.0,8,0.95,0.014704457982766936,0.018521155606753555,0.024220943450927734,,
monte_carlo,100000.0,8,0.99,0.020993050248702204,0.024001470742337654,0.024220943450927734,,
monte_carlo,100000.0,9,0.95,0.01422872429367875,0.01800247444931611,0.024837493896484375,,
monte_carlo,100000.0,9,0.99,0.0204988121316759,0.023599809400874507,0.024837493896484375,,
monte_carlo,100000.0,10,0.95,0.013896323370060798,0.017592433861157126,0.022498130798339844,,
monte_carlo,100000.0,10,0.99,0.019963182600761763,0.022951834987772597,0.022498130798339844,,
monte_carlo,100000.0,11,0.95,0.01332579717178436,0.016920825348710106,0.02819538116455078,,
monte_carlo,100000.0,11,0.99,0.01928742046069645,0.022150671392550315,0.02819538116455078,,
monte_carlo,100000.0,12,0.95,0.015737830098147314,0.019861366029218112,0.026643037796020508,,
monte_carlo,100000.0,12,0.99,0.022495157802644224,0.025710071206066765,0.026643037796020508,,
monte_carlo,100000.0,13,0.95,0.01701930792936275,0.021501216147379574,0.024696826934814453,,
monte_carlo,100000.0,13,0.99,0.024344344480985804,0.027989086736796183,0.024696826934814453,,
monte_carlo,100000.0,14,0.95,0.014879403484271683,0.018879318116466367,0.024301767349243164,,
monte_carlo,100000.0,14,0.99,0.02139549711354178,0.024677604430795315,0.024301767349243164,,
monte_carlo,100000.0,15,0.95,0.015563051125613627,0.019702485484175223,0.020236492156982422,,
monte_carlo,100000.0,15,0.99,0.02226480038994698,0.025695020338979673,0.020236492156982422,,
monte_carlo,100000.0,16,0.95,0.01687621107814364,0.021299616803518523,0.023000717163085938,,
monte_carlo,100000.0,16,0.99,0.02420169659360407,0.02772945363573307,0.023000717163085938,,
monte_carlo,100000.0,17,0.95,0.01704677762027636,0.021456865551227857,0.020191431045532227,,
monte_carlo,100000.0,17,0.99,0.024385459779073144,0.02781960390810248,0.020191431045532227,,
monte_carlo,100000.0,18,0.95,0.016215594176266664,0.02042431555621419,0.021749019622802734,,
monte_carlo,100000.0,18,0.99,0.023072047486287637,0.026641984350684482,0.021749019622802734,,
monte_carlo,100000.0,19,0.95,0.01570557201625205,0.01979358935915397,0.022305727005004883,,
monte_carlo,100000.0,19,0.99,0.02232590514683542,0.025725400420405414,0.022305727005004883,,
qae,8192.0,0,0.95,,0.026932430678621454,0.0,4.0,8.0
qae,8192.0,0,0.99,,0.04667530578840877,0.0,4.0,8.0
qae,8192.0,1,0.95,,0.02706880793119693,0.0,4.0,8.0
qae,8192.0,1,0.99,,0.04739579586566078,0.0,4.0,8.0
qae,8192.0,2,0.95,,0.02234507854574548,0.0009984970092773438,4.0,8.0
qae,8192.0,2,0.99,,0.03732793458003139,0.0009984970092773438,4.0,8.0
qae,8192.0,3,0.95,,0.02023188991487074,0.0,4.0,8.0
qae,8192.0,3,0.99,,0.03475854780311415,0.0,4.0,8.0
qae,8192.0,4,0.95,,0.021728145549338048,0.0009789466857910156,4.0,8.0
qae,8192.0,4,0.99,,0.03474167349877611,0.0009789466857910156,4.0,8.0
qae,8192.0,5,0.95,,0.027160293414604002,0.0,4.0,8.0
qae,8192.0,5,0.99,,0.047209340927064906,0.0,4.0,8.0
qae,8192.0,6,0.95,,0.025966519908766205,0.0,4.0,8.0
qae,8192.0,6,0.99,,0.04602274822223062,0.0,4.0,8.0
qae,8192.0,7,0.95,,0.024455067419124604,0.0010020732879638672,4.0,8.0
qae,8192.0,7,0.99,,0.03839264717831062,0.0010020732879638672,4.0,8.0
qae,8192.0,8,0.95,,0.02127390675207633,0.0,4.0,8.0
qae,8192.0,8,0.99,,0.03306297605120462,0.0,4.0,8.0
qae,8192.0,9,0.95,,0.020385533575725,0.0,4.0,8.0
qae,8192.0,9,0.99,,0.034296351994557224,0.0,4.0,8.0
qae,8192.0,10,0.95,,0.0200729358303052,0.0,4.0,8.0
qae,8192.0,10,0.99,,0.03288057346425081,0.0,4.0,8.0
qae,8192.0,11,0.95,,0.019493665208344252,0.0,4.0,8.0
qae,8192.0,11,0.99,,0.029962789416325675,0.0,4.0,8.0
qae,8192.0,12,0.95,,0.02257690563544037,0.001016855239868164,4.0,8.0
qae,8192.0,12,0.99,,0.03718580161285812,0.001016855239868164,4.0,8.0
qae,8192.0,13,0.95,,0.024453770177112567,0.0,4.0,8.0
qae,8192.0,13,0.99,,0.037418471848817095,0.0,4.0,8.0
qae,8192.0,14,0.95,,0.022136425971526763,0.0,4.0,8.0
qae,8192.0,14,0.99,,0.03712555398718689,0.0,4.0,8.0
qae,8192.0,15,0.95,,0.02238154927582347,0.0,4.0,8.0
qae,8192.0,15,0.99,,0.03572399892863599,0.0,4.0,8.0
qae,8192.0,16,0.95,,0.02467510478536539,0.0,4.0,8.0
qae,8192.0,16,0.99,,0.03847919125259028,0.0,4.0,8.0
qae,8192.0,17,0.95,,0.024643183319385004,0.0,4.0,8.0
qae,8192.0,17,0.99,,0.038267015181930236,0.0,4.0,8.0
qae,8192.0,18,0.95,,0.024221204545295638,0.0,4.0,8.0
qae,8192.0,18,0.99,,0.03975878464682225,0.0,4.0,8.0
qae,8192.0,19,0.95,,0.0237745033166115,0.0010001659393310547,4.0,8.0
qae,8192.0,19,0.99,,0.03863389779042823,0.0010001659393310547,4.0,8.0
parametric_var,,0,0.95,-0.01898219121597192,,0.000982522964477539,,
parametric_var,,0,0.99,-0.026565088041707218,,0.000982522964477539,,
parametric_var,,1,0.95,-0.018945025585516678,,0.0010170936584472656,,
parametric_var,,1,0.99,-0.026549231255343586,,0.0010170936584472656,,
parametric_var,,2,0.95,-0.0162499483610724,,0.0,,
parametric_var,,2,0.99,-0.022695996956041287,,0.0,,
parametric_var,,3,0.95,-0.014823534220410571,,0.00099945068359375,,
parametric_var,,3,0.99,-0.02071585480849683,,0.00099945068359375,,
parametric_var,,4,0.95,-0.016518418122576452,,0.0,,
parametric_var,,4,0.99,-0.023062731077684896,,0.0,,
parametric_var,,5,0.95,-0.019385969184794044,,0.0010013580322265625,,
parametric_var,,5,0.99,-0.027138453859997254,,0.0010013580322265625,,
parametric_var,,6,0.95,-0.018600611819297907,,0.0,,
parametric_var,,6,0.99,-0.026010557762758034,,0.0,,
parametric_var,,7,0.95,-0.017280697425060672,,0.0010001659393310547,,
parametric_var,,7,0.99,-0.02419201318861941,,0.0010001659393310547,,
parametric_var,,8,0.95,-0.015839370105441012,,0.0,,
parametric_var,,8,0.99,-0.0221613242060031,,0.0,,
parametric_var,,9,0.95,-0.01539115985685148,,0.0009951591491699219,,
parametric_var,,9,0.99,-0.02150558090380319,,0.0009951591491699219,,
parametric_var,,10,0.95,-0.014960540433956965,,0.0,,
parametric_var,,10,0.99,-0.020915605175211294,,0.0,,
parametric_var,,11,0.95,-0.014532539999127727,,0.0010051727294921875,,
parametric_var,,11,0.99,-0.020305982515420345,,0.0010051727294921875,,
parametric_var,,12,0.95,-0.017123325800910923,,0.0,,
parametric_var,,12,0.99,-0.023903497741067925,,0.0,,
parametric_var,,13,0.95,-0.018375499756155534,,0.0009987354278564453,,
parametric_var,,13,0.99,-0.025700552219626156,,0.0009987354278564453,,
parametric_var,,14,0.95,-0.016098254135400156,,0.0,,
parametric_var,,14,0.99,-0.022529943993281044,,0.0,,
parametric_var,,15,0.95,-0.016993195949891352,,0.0,,
parametric_var,,15,0.99,-0.02374205691489878,,0.0,,
parametric_var,,16,0.95,-0.018040258933643513,,0.0010008811950683594,,
parametric_var,,16,0.99,-0.025283301052035703,,0.0010008811950683594,,
parametric_var,,17,0.95,-0.01816295362160658,,0.0009818077087402344,,
parametric_var,,17,0.99,-0.02542095776181757,,0.0009818077087402344,,
parametric_var,,18,0.95,-0.01764286838037542,,0.0,,
parametric_var,,18,0.99,-0.024661555976860358,,0.0,,
parametric_var,,19,0.95,-0.016882806160995745,,0.0,,
parametric_var,,19,0.99,-0.023648338101438616,,0.0,,
evt_pot,,0,0.95,0.0171310159489723,0.03612266300579083,0.014297008514404297,,
evt_pot,,0,0.99,0.03126720343993074,0.05767017597978013,0.014297008514404297,,
evt_pot,,1,0.95,0.016939409963364,0.036521685026469845,0.004046201705932617,,
evt_pot,,1,0.99,0.03155242101587518,0.05905674299475319,0.004046201705932617,,
evt_pot,,2,0.95,0.01470380775454608,0.028872260851238174,0.0030031204223632812,,
evt_pot,,2,0.99,0.025499946072049876,0.04456617568738653,0.0030031204223632812,,
evt_pot,,3,0.95,0.012927997074217197,0.0280391955578082,0.0010156631469726562,,
evt_pot,,3,0.99,0.023157741974121265,0.04437730087534098,0.0010156631469726562,,
evt_pot,,4,0.95,0.015252474164957557,0.025918528413517793,0.0019998550415039062,,
evt_pot,,4,0.99,0.025400475914184116,0.03870925590025838,0.0019998550415039062,,
evt_pot,,5,0.95,0.017633085225010288,0.03764592276553495,0.00099945068359375,,
evt_pot,,5,0.99,0.031744566017724934,0.05969182841052939,0.00099945068359375,,
evt_pot,,6,0.95,0.01708028089425563,0.03481576605268266,0.0010170936584472656,,
evt_pot,,6,0.99,0.030224162665981054,0.05449809561301143,0.0010170936584472656,,
evt_pot,,7,0.95,0.016158049949219554,0.026115483652085013,0.005724906921386719,,
evt_pot,,7,0.99,0.029328811577155903,0.040592423315911993,0.005724906921386719,,
evt_pot,,8,0.95,0.014643954072531457,0.02197072756501901,0.002000093460083008,,
evt_pot,,8,0.99,0.025568405751796152,0.033263373529271396,0.002000093460083008,,
evt_pot,,9,0.95,0.013848476315732031,0.02854444348864893,0.00400233268737793,,
evt_pot,,9,0.99,0.02337486626976875,0.043483032424916725,0.00400233268737793,,
evt_pot,,10,0.95,0.013634674056738141,0.024245233906475545,0.0029823780059814453,,
evt_pot,,10,0.99,0.02362442250430241,0.03714259814242854,0.0029823780059814453,,
evt_pot,,11,0.95,0.013531379125058625,0.020679287140688524,0.00500035285949707,,
evt_pot,,11,0.99,0.023166521289526974,0.031071760329853048,0.00500035285949707,,
evt_pot,,12,0.95,0.015299697739122174,0.027301075744170504,0.004342079162597656,,
evt_pot,,12,0.99,0.026771325294776722,0.04205914178343654,0.004342079162597656,,
evt_pot,,13,0.95,0.016639612811476395,0.025460706167985667,0.002974271774291992,,
evt_pot,,13,0.99,0.028692548526385586,0.03839652890332265,0.002974271774291992,,
evt_pot,,14,0.95,0.014603042425802557,0.027788056128088504,0.003999948501586914,,
evt_pot,,14,0.99,0.026035533570073238,0.04346435236437786,0.003999948501586914,,
evt_pot,,15,0.95,0.015834036455388292,0.026415931277186375,0.0040166378021240234,,
evt_pot,,15,0.99,0.026043355722942207,0.039123361917025076,0.0040166378021240234,,
evt_pot,,16,0.95,0.016464149556186886,0.026592046875139164,0.0010001659393310547,,
evt_pot,,16,0.99,0.029510646978106625,0.041088153800708446,0.0010001659393310547,,
evt_pot,,17,0.95,0.017356492895063476,0.024787207467299986,0.0019788742065429688,,
evt_pot,,17,0.99,0.02951372563359424,0.03686487300395957,0.0019788742065429688,,
evt_pot,,18,0.95,0.01606521756384721,0.031071683597738264,0.0010004043579101562,,
evt_pot,,18,0.99,0.02768195214030979,0.0477361525554769,0.0010004043579101562,,
evt_pot,,19,0.95,0.015397979206841144,0.028387613868560053,0.0019991397857666016,,
evt_pot,,19,0.99,0.02742120597893864,0.044263300231649955,0.0019991397857666016,,
